date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:14	24419/24419	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:13%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/our-history	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/our-history.html	(from )
14:48:16	37413/37413	U--MC-	200	updated ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:15%20GMT	http://livedemo00.template-help.com/joomla_43780/	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.html	(from )
14:48:16	25690/25690	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:15%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/services	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/services.html	(from )
14:48:18	27319/27319	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:17%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/about/faqs	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/about/faqs.html	(from )
14:48:21	43087/43087	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:19%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-2	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-2.html	(from )
14:48:24	43122/43122	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:22%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-3	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-3.html	(from )
14:48:26	43082/43082	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:24%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-4	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/gallery/columns-4.html	(from )
14:48:29	24721/24721	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:27%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/testimonials	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/testimonials.html	(from )
14:48:32	26369/26369	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:30%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/staff	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/staff.html	(from )
14:48:36	20442/20442	---MC-	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202013%2019:48:34%20GMT	http://livedemo00.template-help.com/joomla_43780/index.php/contacts	C:/web/templatemonster_43780/template%20monster/livedemo00.template-help.com/joomla_43780/index.php/contacts.html	(from )
